side,ts_event,ts_recv,price,size,action,order_id,symbol
a,2024-11-12T06:50:46.429783210Z,2024-11-11 23:50:46.022968,0.3997484,30965.36881204,delete,ORGZ5R-ZEYOW-KMRY7M,DOGE/USD
a,2024-11-12T06:50:43.813890889Z,2024-11-11 23:50:46.022968,0.3999692,70593.27385417,add,OEODNS-KAW36-S4YRKB,DOGE/USD
a,2024-11-12T06:50:46.141725503Z,2024-11-11 23:50:46.025208,3389.55,0.57679728,modify,OUETQV-U5R2K-3UF3WT,ETH/USD
a,2024-11-12T06:50:46.432895249Z,2024-11-11 23:50:46.025766,220.92,17.09441927,delete,OV66Z6-F4E24-3SSR5N,SOL/USD
a,2024-11-12T06:50:39.867039066Z,2024-11-11 23:50:46.025766,221.09,452.32039646,add,OC4QEP-4EJJY-PJXFWX,SOL/USD
b,2024-11-12T06:50:46.446635162Z,2024-11-11 23:50:46.039751,220.84,45.28165187,add,OPOMAR-5JKWX-4JLBFS,SOL/USD
b,2024-11-12T06:50:46.449710430Z,2024-11-11 23:50:46.042627,220.84,45.28165187,delete,OPOMAR-5JKWX-4JLBFS,SOL/USD
b,2024-11-12T06:50:40.612000700Z,2024-11-11 23:50:46.042627,220.68,17.92287169,add,OPPMP7-BHVVM-XHEC5Q,SOL/USD
b,2024-11-12T06:50:46.089869366Z,2024-11-11 23:50:46.042627,220.68,560.50686993,add,ORVKTG-GB7HF-EPNJVK,SOL/USD
a,2024-11-12T06:50:46.477448307Z,2024-11-11 23:50:46.071225,89751.2,0.02222991,delete,O7IANV-FT7HH-QLCB44,BTC/USD
a,2024-11-12T06:50:42.770350576Z,2024-11-11 23:50:46.071225,89754.0,5.57078788,add,OZTDKQ-KNNPK-Q5SPBZ,BTC/USD
